season,celebrity,eliminated_week
24,Normani,3rd Place
24,Nick Viall,7
25,Sasha Pieterse,5
25,Frankie Muniz,3rd Place
25,Jordan Fisher,Champion
25,Derek Fisher,4
25,Nikki Bella,7
25,Terrell Owens,8
25,Victoria Arlen,9
25,Barbara Corcoran,2
25,Lindsey Stirling,Runner-up
25,Debbie Gibson,2
25,Nick Lachey,6
25,Drew Scott,10
25,Vanessa Lachey,7
26,Jamie Anderson,1
26,Johnny Damon,1
26,Kareem Abdul-Jabbar,2
26,Arike Ogunbowale,2
26,Jennie Finch Daigle,3
26,Chris Mazdzer,3
26,Mirai Nagasu,3
26,Tonya Harding,3rd Place
26,Josh Norman,Runner-up
26,Adam Rippon,Champion
27,Juan Pablo Di Pace,8
27,Evanna Lynch,3rd Place
27,Nancy McKeon,3
27,John Schneider,7
27,Milo Manheim,Runner-up
27,Danelle Umstead,2
27,Mary Lou Retton,6
27,DeMarcus Ware,7
27,Nikki Glaser,1
27,Bobby Bones,Champion
27,Tinashe,4
27,Alexis Ren,4th Place
27,Joe Amabile,8
28,Kate Flannery,8
28,James Van Der Beek,10
28,Kel Mitchell,Runner-up
28,Ray Lewis,Withdrew
28,Lamar Odom,4
28,Sailor Brinkley-Cook,6
28,Sean Spicer,9
28,Mary Wilson,2
28,Lauren Alaina,4th Place
28,Ally Brooke,3rd Place
28,Karamo Brown,7
28,Hannah Brown,Champion
29,Anne Heche,4
29,Jesse Metcalfe,5
29,Chrishell Stause,8
29,Skai Jackson,10
29,Justina Machado,4th Place
29,Charles Oakley,2
29,Veron Davis,6
29,Johnny Weir,10
29,Nev Schulman,Runner-up
29,AJ McLean,9
29,Nelly,3rd Place
29,Kaitlyn Bristowe,Champion
29,Carole Baskin,3
29,Monica Aldama,7
29,Jeannie Mai,Withdrew
30,Martin Kove,2
30,Brian Austin Green,4
30,Melora Hardin,9
30,Matt James,4
30,"Mike ""The Miz"" Mizanin",7
30,Suni Lee,9
30,Iman Shumpert,Champion
30,Cody Rigsby,3rd Place
30,Melanie C,5
30,Jimmie Allen,8
30,Olivia Jade,8
30,JoJo Siwa,Runner-up
30,Christine Chiu,3
30,Kenya Moore,6
30,Amanda Kloots,4th Place
31,Jason Lewis,1
31,Cheryl Ladd,3
31,Selma Blair,Withdrew
31,Joseph Baena,5
31,Trevor Donovan,9
31,Daniel Durant,9
31,Wayne Brady,3rd Place
31,Sam Champion,4
31,Jessie James Decker,6
31,Jordin Sparks,7
31,Heidi D'Amelio,8
31,Charli D'Amelio,Champion
31,Teresa Giudice,2
31,Vinny Guadagnino,8
31,Shangela,4th Place
31,Gabby Windey,Runner-up
32,Jamie Lynn Spears,2
32,Mira Sorvino,5
32,Barry Williams,8
32,Alyson Hannigan,5th Place
32,Xochitl Gomez,Champion
32,Adrian Peterson,4
32,Matt Walsh,1
32,Tyson Beckford,3
32,Jason Mraz,Runner-up
32,Lele Pons,7
32,Harry Jowsey,9
32,Mauricio Umansky,6
32,Charity Lawson,4th Place
32,Ariana Madix,3rd Place
33,Tori Spelling,2
33,Eric Roberts,3
33,Reginald VelJohnson,3
33,Chandler Kinney,3rd Place
33,Dwight Howard ,7
33,Danny Amendola,5th Place
33,Stephen Nedoroscik,4th Place
33,Ilona Maher,Runner-up
33,Anna Delvey,2
33,Brooks Nader,4
33,Phaedra Parks,5
33,Jenn Tran,6
33,Joey Graziadei,Champion
34,Corey Feldman,2
34,Danielle Fishel,8
34,Elaine Hendrix,5th Place
34,Baron Davis,2
34,Jordan Chiles,3rd Place
34,Andy Richter,9
34,Robert Irwin,Champion
34,Hilaria Baldwin,4
34,Lauren Jauregui,3
34,Scott Hoying,6
34,Alix Earle,Runner-up
34,Jen Affleck,7
34,Whitney Leavitt,10
34,Dylan Efron,4th Place
