season,celebrity,week,FanVote%
3,Joey Lawrence,9,11.8
3,Mario Lopez,1,21.98
3,Mario Lopez,2,22.84
3,Mario Lopez,3,23.31
3,Mario Lopez,4,24.18
3,Mario Lopez,5,25.07
3,Mario Lopez,6,27.85
3,Mario Lopez,7,29.1
3,Mario Lopez,8,35.48
3,Mario Lopez,9,38.54
3,Mario Lopez,10,43.77
3,Monique Coleman,1,6.98
3,Monique Coleman,2,6.73
3,Monique Coleman,3,6.43
3,Monique Coleman,4,6.25
3,Monique Coleman,5,6.02
3,Monique Coleman,6,5.92
3,Monique Coleman,7,5.5
3,Monique Coleman,8,5.68
3,Sara Evans,1,6.23
3,Sara Evans,2,5.9
3,Sara Evans,3,5.45
3,Sara Evans,4,5.09
3,Sara Evans,5,4.27
3,Shanna Moakler,1,0.35
3,Shanna Moakler,2,0.27
3,Tucker Carlson,1,1.62
3,Vivica A. Fox,1,0.71
3,Vivica A. Fox,2,0.59
3,Vivica A. Fox,3,0.48
3,Vivica A. Fox,4,0.38
3,Willa Ford,1,1.88
3,Willa Ford,2,1.68
3,Willa Ford,3,1.45
3,Willa Ford,4,1.17
3,Willa Ford,5,0.94
4,Apolo Anton Ohno,1,13.9
4,Apolo Anton Ohno,2,14.07
4,Apolo Anton Ohno,3,14.14
4,Apolo Anton Ohno,4,14.68
4,Apolo Anton Ohno,5,15.26
4,Apolo Anton Ohno,6,17.96
4,Apolo Anton Ohno,7,18.54
4,Apolo Anton Ohno,8,21.24
4,Apolo Anton Ohno,9,32.03
4,Apolo Anton Ohno,10,35.28
4,Billy Ray Cyrus,1,22.42
4,Billy Ray Cyrus,2,23.15
4,Billy Ray Cyrus,3,24.15
4,Billy Ray Cyrus,4,25.43
4,Billy Ray Cyrus,5,27.34
4,Billy Ray Cyrus,6,32.13
4,Billy Ray Cyrus,7,33.2
4,Billy Ray Cyrus,8,32.69
4,Clyde Drexler,1,15.21
4,Clyde Drexler,2,15.37
4,Clyde Drexler,3,15.35
4,Clyde Drexler,4,14.28
4,Clyde Drexler,5,12.98
4,Heather Mills,1,1.69
4,Heather Mills,2,1.49
4,Heather Mills,3,1.31
4,Heather Mills,4,1.15
4,Heather Mills,5,1.02
4,Heather Mills,6,0.96
4,Ian Ziering,1,6.89
4,Ian Ziering,2,6.6
4,Ian Ziering,3,6.38
4,Ian Ziering,4,6.22
4,Ian Ziering,5,6.21
4,Ian Ziering,6,6.84
4,Ian Ziering,7,6.65
4,Ian Ziering,8,6.89
4,Ian Ziering,9,8.92
4,Joey Fatone,1,12.63
4,Joey Fatone,2,12.6
4,Joey Fatone,3,12.68
4,Joey Fatone,4,12.98
4,Joey Fatone,5,13.54
4,Joey Fatone,6,15.69
4,Joey Fatone,7,16.24
4,Joey Fatone,8,18.42
4,Joey Fatone,9,27.91
4,Joey Fatone,10,30.49
4,John Ratzenberger,1,9.43
4,John Ratzenberger,2,9.23
4,John Ratzenberger,3,9.07
4,John Ratzenberger,4,8.83
4,John Ratzenberger,5,8.43
4,John Ratzenberger,6,8.7
4,John Ratzenberger,7,7.16
4,Laila Ali,1,14.06
4,Laila Ali,2,14.2
4,Laila Ali,3,14.33
4,Laila Ali,4,14.74
4,Laila Ali,5,15.23
4,Laila Ali,6,17.73
4,Laila Ali,7,18.2
4,Laila Ali,8,20.76
4,Laila Ali,9,31.14
4,Laila Ali,10,34.23
4,Leeza Gibbons,1,2.4
4,Leeza Gibbons,2,2.16
4,Leeza Gibbons,3,1.91
4,Leeza Gibbons,4,1.68
4,Paulina Porizkova,1,0.36
4,Paulina Porizkova,2,0.29
4,Shandi Finnessey,1,1.01
4,Shandi Finnessey,2,0.86
4,Shandi Finnessey,3,0.68
5,Albert Reed,1,0.23
5,Albert Reed,2,0.17
5,Cameron Mathison,1,5.22
5,Cameron Mathison,2,4.97
5,Cameron Mathison,3,4.71
5,Cameron Mathison,4,4.62
5,Cameron Mathison,5,4.35
5,Cameron Mathison,6,4.24
5,Cameron Mathison,7,3.84
5,Cameron Mathison,8,3.28
5,Floyd Mayweather Jr. ,1,2.95
5,Floyd Mayweather Jr. ,2,2.65
5,Floyd Mayweather Jr. ,3,2.35
5,Floyd Mayweather Jr. ,4,2.05
5,Helio Castroneves,1,16.01
5,Helio Castroneves,2,16.47
5,Helio Castroneves,3,16.81
5,Helio Castroneves,4,18.15
5,Helio Castroneves,5,18.67
5,Helio Castroneves,6,19.96
5,Helio Castroneves,7,20.01
5,Helio Castroneves,8,20.48
5,Helio Castroneves,9,21.15
5,Helio Castroneves,10,22.66
5,Jane Seymour,1,4.53
5,Jane Seymour,2,4.29
5,Jane Seymour,3,4.03
5,Jane Seymour,4,3.96
5,Jane Seymour,5,3.69
5,Jane Seymour,6,3.58
5,Jane Seymour,7,2.92
5,Jennie Garth,1,8.01
5,Jennie Garth,2,7.84
5,Jennie Garth,3,7.65
5,Jennie Garth,4,7.82
5,Jennie Garth,5,7.68
5,Jennie Garth,6,7.81
5,Jennie Garth,7,7.51
5,Jennie Garth,8,7.2
5,Jennie Garth,9,6.41
5,Josie Maran,1,1.31
5,Marie Osmond,1,31.85
5,Marie Osmond,2,34.05
5,Marie Osmond,3,36.43
5,Marie Osmond,4,40.92
5,Marie Osmond,5,44.16
5,Marie Osmond,6,48.57
5,Marie Osmond,7,50.11
5,Marie Osmond,8,52.94
5,Marie Osmond,9,55.62
5,Marie Osmond,10,59.38
5,Mark Cuban,1,8.61
5,Mark Cuban,2,8.47
5,Mark Cuban,3,8.06
5,Mark Cuban,4,7.74
5,Mark Cuban,5,6.57
5,Mel B,1,13.06
5,Mel B,2,13.21
5,Mel B,3,13.35
5,Mel B,4,14.19
5,Mel B,5,14.42
5,Mel B,6,15.44
5,Mel B,7,15.61
5,Mel B,8,16.11
5,Mel B,9,16.82
5,Mel B,10,17.96
5,Sabrina Bryan,1,0.83
5,Sabrina Bryan,2,0.71
5,Sabrina Bryan,3,0.6
5,Sabrina Bryan,4,0.54
5,Sabrina Bryan,5,0.45
5,Sabrina Bryan,6,0.39
5,Wayne Newton,1,7.39
5,Wayne Newton,2,7.17
5,Wayne Newton,3,6.01
6,Adam Carolla,1,6.77
6,Adam Carolla,2,6.5
6,Adam Carolla,3,6.36
6,Adam Carolla,4,6.03
6,Cristian de la Fuente,1,22.85
6,Cristian de la Fuente,2,23.69
6,Cristian de la Fuente,3,25.05
6,Cristian de la Fuente,4,26.85
6,Cristian de la Fuente,5,30.01
6,Cristian de la Fuente,6,32.08
6,Cristian de la Fuente,7,35.44
6,Cristian de la Fuente,8,35.49
6,Cristian de la Fuente,9,36.97
6,Cristian de la Fuente,10,48.29
6,Jason Taylor,1,17.18
6,Jason Taylor,2,17.49
6,Jason Taylor,3,18.18
6,Jason Taylor,4,19.1
6,Jason Taylor,5,20.95
6,Jason Taylor,6,21.99
6,Jason Taylor,7,23.83
6,Jason Taylor,8,25.16
6,Jason Taylor,9,26.74
6,Jason Taylor,10,34.92
6,Kristi Yamaguchi,1,10.32
6,Kristi Yamaguchi,2,10.16
6,Kristi Yamaguchi,3,10.25
6,Kristi Yamaguchi,4,10.43
6,Kristi Yamaguchi,5,11.13
6,Kristi Yamaguchi,6,11.31
6,Kristi Yamaguchi,7,11.95
6,Kristi Yamaguchi,8,12.21
6,Kristi Yamaguchi,9,12.88
6,Kristi Yamaguchi,10,16.79
6,Mario,1,4.37
6,Mario,2,4.08
6,Mario,3,3.9
6,Mario,4,3.53
6,Mario,5,3.34
6,Mario,6,3.02
6,Mario,7,2.83
6,Mario,8,2.42
6,Marissa Jaret Winokur,1,22.42
6,Marissa Jaret Winokur,2,23.24
6,Marissa Jaret Winokur,3,24.53
6,Marissa Jaret Winokur,4,24.22
6,Marissa Jaret Winokur,5,24.92
6,Marissa Jaret Winokur,6,24.56
6,Marissa Jaret Winokur,7,24.99
6,Marissa Jaret Winokur,8,24.72
6,Marissa Jaret Winokur,9,23.41
6,Marlee Matlin,1,7.06
6,Marlee Matlin,2,6.8
6,Marlee Matlin,3,6.68
6,Marlee Matlin,4,6.39
6,Marlee Matlin,5,6.37
6,Marlee Matlin,6,5.93
6,Monica Seles,1,1.87
6,Monica Seles,2,1.66
6,Penn Jillette,1,0.67
6,Penn Jillette,2,0.56
6,Priscilla Presley,1,2.69
6,Priscilla Presley,2,2.44
6,Priscilla Presley,3,2.25
6,Priscilla Presley,4,2.11
6,Priscilla Presley,5,2.01
6,Shannon Elizabeth,1,1.85
6,Shannon Elizabeth,2,1.64
6,Shannon Elizabeth,3,1.48
6,Shannon Elizabeth,4,1.34
6,Shannon Elizabeth,5,1.27
6,Shannon Elizabeth,6,1.11
6,Shannon Elizabeth,7,0.97
6,Steve Guttenberg,1,1.97
6,Steve Guttenberg,2,1.75
6,Steve Guttenberg,3,1.32
7,Brooke Burke,1,10.99
7,Brooke Burke,2,11.3
7,Brooke Burke,3,11.83
7,Brooke Burke,4,12.18
7,Brooke Burke,5,13.13
7,Brooke Burke,6,13.65
7,Brooke Burke,7,17.2
7,Brooke Burke,8,18.23
7,Brooke Burke,9,20.16
7,Brooke Burke,10,23.59
7,Cloris Leachman,1,21.9
7,Cloris Leachman,2,23.1
7,Cloris Leachman,3,22.39
7,Cloris Leachman,4,21.34
7,Cloris Leachman,5,21.21
7,Cloris Leachman,6,19.91
7,Cody Linley,1,10.68
7,Cody Linley,2,10.95
7,Cody Linley,3,11.35
7,Cody Linley,4,11.59
7,Cody Linley,5,12.32
7,Cody Linley,6,12.65
7,Cody Linley,7,15.68
7,Cody Linley,8,15.25
7,Cody Linley,9,14.6
7,Jeffrey Ross,1,2.52
7,Kim Kardashian,1,1.3
7,Kim Kardashian,2,1.11
7,Lance Bass,1,13.93
7,Lance Bass,2,14.52
7,Lance Bass,3,15.31
7,Lance Bass,4,15.84
7,Lance Bass,5,17.19
7,Lance Bass,6,17.52
7,Lance Bass,7,21.66
7,Lance Bass,8,22.29
7,Lance Bass,9,23.46
7,Lance Bass,10,27.43
7,Maurice Greene,1,6.73
7,Maurice Greene,2,6.66
7,Maurice Greene,3,6.5
7,Maurice Greene,4,6.24
7,Maurice Greene,5,5.98
7,Maurice Greene,6,5.52
7,Maurice Greene,7,6.07
7,Maurice Greene,8,5.43
7,Misty May-Treanor,1,0.25
7,Misty May-Treanor,2,0.19
7,Rocco DiSpirito,1,7.19
7,Rocco DiSpirito,2,7.04
7,Rocco DiSpirito,3,6.06
7,Rocco DiSpirito,4,5.08
7,Susan Lucci,1,3.0
7,Susan Lucci,2,2.77
7,Susan Lucci,3,2.55
7,Susan Lucci,4,2.31
7,Susan Lucci,5,2.16
7,Susan Lucci,6,1.8
7,Susan Lucci,7,1.78
7,Ted McGinley,1,0.29
7,Toni Braxton,1,1.61
7,Toni Braxton,2,1.47
7,Toni Braxton,3,1.34
7,Toni Braxton,4,1.21
7,Toni Braxton,5,1.07
7,Warren Sapp,1,19.6
7,Warren Sapp,2,20.89
7,Warren Sapp,3,22.67
7,Warren Sapp,4,24.21
7,Warren Sapp,5,26.94
7,Warren Sapp,6,28.94
7,Warren Sapp,7,37.6
7,Warren Sapp,8,38.8
7,Warren Sapp,9,41.78
7,Warren Sapp,10,48.97
8,Belinda Carlisle,1,0.47
8,Belinda Carlisle,2,0.34
8,Chuck Wicks,1,1.93
8,Chuck Wicks,2,1.71
8,Chuck Wicks,3,1.53
8,Chuck Wicks,4,1.43
8,Chuck Wicks,5,2.01
8,Chuck Wicks,6,1.83
8,Chuck Wicks,7,2.22
8,Chuck Wicks,8,2.1
8,David Alan Grier,1,1.14
8,David Alan Grier,2,0.97
8,David Alan Grier,3,0.75
8,David Alan Grier,4,0.61
8,David Alan Grier,5,0.74
8,Denise Richards,1,0.7
8,Denise Richards,2,0.56
8,Denise Richards,3,0.45
8,Gilles Marini,1,5.64
8,Gilles Marini,2,5.37
8,Gilles Marini,3,5.21
8,Gilles Marini,4,5.29
8,Gilles Marini,5,8.11
8,Gilles Marini,6,8.37
8,Gilles Marini,7,11.76
8,Gilles Marini,8,13.02
8,Gilles Marini,9,13.12
8,Gilles Marini,10,13.43
8,Gilles Marini,11,17.72
8,Holly Madison,1,3.16
8,Holly Madison,2,2.87
8,Holly Madison,3,2.59
8,Holly Madison,4,2.39
8,Lawrence Taylor,1,7.5
8,Lawrence Taylor,2,7.14
8,Lawrence Taylor,3,6.87
8,Lawrence Taylor,4,6.93
8,Lawrence Taylor,5,10.4
8,Lawrence Taylor,6,9.91
8,Lawrence Taylor,7,12.73
8,Lil' Kim,1,1.69
8,Lil' Kim,2,1.49
8,Lil' Kim,3,1.34
8,Lil' Kim,4,1.26
8,Lil' Kim,5,1.78
8,Lil' Kim,6,1.69
8,Lil' Kim,7,2.18
8,Lil' Kim,8,2.16
8,Lil' Kim,9,1.9
8,Melissa Rycroft,1,12.6
8,Melissa Rycroft,2,12.63
8,Melissa Rycroft,3,12.87
8,Melissa Rycroft,4,13.74
8,Melissa Rycroft,5,22.17
8,Melissa Rycroft,6,24.04
8,Melissa Rycroft,7,35.5
8,Melissa Rycroft,8,41.42
8,Melissa Rycroft,9,41.69
8,Melissa Rycroft,10,42.89
8,Melissa Rycroft,11,56.57
8,Shawn Johnson,1,7.23
8,Shawn Johnson,2,7.0
8,Shawn Johnson,3,6.89
8,Shawn Johnson,4,7.1
8,Shawn Johnson,5,11.06
8,Shawn Johnson,6,11.58
8,Shawn Johnson,7,16.51
8,Shawn Johnson,8,18.58
8,Shawn Johnson,9,18.86
8,Shawn Johnson,10,19.5
8,Shawn Johnson,11,25.72
8,Steve Wozniak,1,32.76
8,Steve Wozniak,2,33.43
8,Steve Wozniak,3,34.51
8,Steve Wozniak,4,32.56
8,Steve-O,1,22.07
8,Steve-O,2,22.83
8,Steve-O,3,22.65
8,Steve-O,4,23.29
8,Steve-O,5,33.54
8,Steve-O,6,30.08
8,Ty Murray,1,3.11
8,Ty Murray,2,3.65
8,Ty Murray,3,4.35
8,Ty Murray,4,5.41
8,Ty Murray,5,10.19
8,Ty Murray,6,12.49
8,Ty Murray,7,19.1
8,Ty Murray,8,22.72
8,Ty Murray,9,24.43
8,Ty Murray,10,24.18
9,Aaron Carter,1,2.69
9,Aaron Carter,2,2.49
9,Aaron Carter,3,2.27
9,Aaron Carter,4,2.2
9,Aaron Carter,5,2.06
9,Aaron Carter,6,1.91
9,Aaron Carter,7,1.94
9,Aaron Carter,8,2.52
9,Ashley Hamiliton,1,0.8
9,Chuck Liddell,1,1.52
9,Chuck Liddell,2,1.34
9,Chuck Liddell,3,1.14
9,Chuck Liddell,4,0.94
9,Debi Mazar,1,0.48
9,Debi Mazar,2,0.39
9,Debi Mazar,3,0.31
9,Donny Osmond,1,18.35
9,Donny Osmond,2,19.09
9,Donny Osmond,3,19.67
9,Donny Osmond,4,21.47
9,Donny Osmond,5,23.23
9,Donny Osmond,6,25.05
9,Donny Osmond,7,29.7
9,Donny Osmond,8,47.11
9,Donny Osmond,9,50.22
9,Donny Osmond,10,50.97
9,Joanna Krupa,1,1.95
9,Joanna Krupa,2,1.78
9,Joanna Krupa,3,1.57
9,Joanna Krupa,4,1.49
9,Joanna Krupa,5,1.38
9,Joanna Krupa,6,1.29
9,Joanna Krupa,7,1.29
9,Joanna Krupa,8,1.74
9,Joanna Krupa,9,1.46
9,Kathy Ireland,1,0.99
9,Kathy Ireland,2,0.78
9,Kelly Osbourne,1,12.63
9,Kelly Osbourne,2,12.84
9,Kelly Osbourne,3,12.86
9,Kelly Osbourne,4,13.66
9,Kelly Osbourne,5,14.38
9,Kelly Osbourne,6,15.08
9,Kelly Osbourne,7,17.08
9,Kelly Osbourne,8,25.71
9,Kelly Osbourne,9,26.06
9,Kelly Osbourne,10,26.43
9,Louie Vito,1,4.35
9,Louie Vito,2,4.13
9,Louie Vito,3,3.85
9,Louie Vito,4,3.79
9,Louie Vito,5,3.28
9,Louie Vito,6,2.75
9,Macy Gray,1,0.8
9,Mark Dacascos,1,3.38
9,Mark Dacascos,2,3.16
9,Mark Dacascos,3,2.92
9,Mark Dacascos,4,2.84
9,Mark Dacascos,5,2.73
9,Mark Dacascos,6,2.61
9,Mark Dacascos,7,2.75
9,Melissa Joan Hart,1,1.96
9,Melissa Joan Hart,2,1.77
9,Melissa Joan Hart,3,1.55
9,Melissa Joan Hart,4,1.42
9,Melissa Joan Hart,5,1.29
9,Melissa Joan Hart,6,1.15
9,Michael Irvin,1,34.45
9,Michael Irvin,2,36.87
9,Michael Irvin,3,39.03
9,Michael Irvin,4,39.02
9,Michael Irvin,5,37.88
9,Michael Irvin,6,36.25
9,Michael Irvin,7,31.18
9,Mya,1,11.73
9,Mya,2,11.87
9,Mya,3,11.89
9,Mya,4,12.62
9,Mya,5,13.28
9,Mya,6,13.93
9,Mya,7,16.05
9,Mya,8,22.92
9,Mya,9,22.26
9,Mya,10,22.6
9,Natalie Coughlin,1,0.86
9,Natalie Coughlin,2,0.74
9,Natalie Coughlin,3,0.62
9,Natalie Coughlin,4,0.56
9,Natalie Coughlin,5,0.5
9,Tom DeLay,1,3.06
9,Tom DeLay,2,2.75
9,Tom DeLay,3,2.32
10,Aiden Turner,1,2.45
10,Aiden Turner,2,2.22
10,Aiden Turner,3,2.03
10,Aiden Turner,4,2.03
10,Buzz Aldrin,1,12.49
10,Buzz Aldrin,2,12.54
10,Buzz Aldrin,3,11.29
10,Chad Ochocinco,1,13.93
10,Chad Ochocinco,2,14.15
10,Chad Ochocinco,3,14.33
10,Chad Ochocinco,4,16.33
10,Chad Ochocinco,5,16.77
10,Chad Ochocinco,6,18.7
10,Chad Ochocinco,7,19.02
10,Chad Ochocinco,8,19.1
10,Chad Ochocinco,9,20.23
10,Erin Andrews,1,16.31
10,Erin Andrews,2,16.65
10,Erin Andrews,3,17.48
10,Erin Andrews,4,20.45
10,Erin Andrews,5,21.76
10,Erin Andrews,6,25.43
10,Erin Andrews,7,27.44
10,Erin Andrews,8,28.94
10,Erin Andrews,9,34.7
10,Erin Andrews,10,43.48
10,Evan Lysacek,1,13.15
10,Evan Lysacek,2,13.26
10,Evan Lysacek,3,13.73
10,Evan Lysacek,4,15.86
10,Evan Lysacek,5,16.71
10,Evan Lysacek,6,19.39
10,Evan Lysacek,7,20.47
10,Evan Lysacek,8,21.33
10,Evan Lysacek,9,25.16
10,Evan Lysacek,10,31.56
10,Jake Pavelka,1,4.12
10,Jake Pavelka,2,3.86
10,Jake Pavelka,3,3.7
10,Jake Pavelka,4,3.93
10,Jake Pavelka,5,3.71
10,Jake Pavelka,6,3.84
10,Kate Gosselin,1,12.31
10,Kate Gosselin,2,12.37
10,Kate Gosselin,3,12.23
10,Kate Gosselin,4,12.85
10,Kate Gosselin,5,11.74
10,Nicole Scherzinger,1,10.96
10,Nicole Scherzinger,2,10.92
10,Nicole Scherzinger,3,11.18
10,Nicole Scherzinger,4,12.77
10,Nicole Scherzinger,5,13.29
10,Nicole Scherzinger,6,15.24
10,Nicole Scherzinger,7,16.13
10,Nicole Scherzinger,8,16.78
10,Nicole Scherzinger,9,19.9
10,Nicole Scherzinger,10,24.96
10,Niecy Nash,1,11.46
10,Niecy Nash,2,11.45
10,Niecy Nash,3,11.74
10,Niecy Nash,4,13.41
10,Niecy Nash,5,13.78
10,Niecy Nash,6,15.13
10,Niecy Nash,7,14.89
10,Niecy Nash,8,13.85
10,Pamela Anderson,1,2.69
10,Pamela Anderson,2,2.46
10,Pamela Anderson,3,2.29
10,Pamela Anderson,4,2.38
10,Pamela Anderson,5,2.23
10,Pamela Anderson,6,2.25
10,Pamela Anderson,7,2.05
10,Shannen Doherty,1,0.14
10,Shannen Doherty,2,0.11
11,Audrina Patridge,1,0.76
11,Audrina Patridge,2,0.62
11,Audrina Patridge,3,0.51
11,Audrina Patridge,4,0.41
11,Audrina Patridge,5,0.33
11,Audrina Patridge,6,0.23
11,Brandy,1,5.26
11,Brandy,2,4.94
11,Brandy,3,4.7
11,Brandy,4,4.39
11,Brandy,5,4.13
11,Brandy,6,3.87
11,Brandy,7,3.7
11,Brandy,8,3.51
11,Brandy,9,3.47
11,Bristol Palin,1,35.97
11,Bristol Palin,2,38.11
11,Bristol Palin,3,40.89
11,Bristol Palin,4,43.16
11,Bristol Palin,5,45.62
11,Bristol Palin,6,47.26
11,Bristol Palin,7,49.62
11,Bristol Palin,8,52.52
11,Bristol Palin,9,58.53
11,Bristol Palin,10,60.63
11,David Hasselhoff,1,0.42
11,Florence Henderson,1,1.83
11,Florence Henderson,2,1.6
11,Florence Henderson,3,1.39
11,Florence Henderson,4,1.13
11,Florence Henderson,5,0.87
11,Jennifer Grey,1,13.26
11,Jennifer Grey,2,13.21
11,Jennifer Grey,3,13.32
11,Jennifer Grey,4,13.26
11,Jennifer Grey,5,13.27
11,Jennifer Grey,6,13.24
11,Jennifer Grey,7,13.26
11,Jennifer Grey,8,13.5
11,Jennifer Grey,9,14.91
11,Jennifer Grey,10,15.45
11,Kurt Warner,1,13.59
11,Kurt Warner,2,13.54
11,Kurt Warner,3,13.67
11,Kurt Warner,4,13.59
11,Kurt Warner,5,13.49
11,Kurt Warner,6,13.33
11,Kurt Warner,7,11.29
11,Kurt Warner,8,9.59
11,Kyle Massey,1,18.53
11,Kyle Massey,2,18.85
11,Kyle Massey,3,19.42
11,Kyle Massey,4,19.72
11,Kyle Massey,5,20.13
11,Kyle Massey,6,20.18
11,Kyle Massey,7,20.53
11,Kyle Massey,8,20.88
11,Kyle Massey,9,23.09
11,Kyle Massey,10,23.92
11,Margaret Cho,1,1.66
11,Margaret Cho,2,1.37
11,Margaret Cho,3,1.14
11,Michael Bolton,1,2.56
11,Michael Bolton,2,2.25
11,Rick Fox,1,3.18
11,Rick Fox,2,2.89
11,Rick Fox,3,2.66
11,Rick Fox,4,2.41
11,Rick Fox,5,2.16
11,Rick Fox,6,1.89
11,Rick Fox,7,1.6
11,The Situation,1,2.97
11,The Situation,2,2.61
11,The Situation,3,2.31
11,The Situation,4,1.93
12,Chelsea Kane,1,12.38
12,Chelsea Kane,2,12.26
12,Chelsea Kane,3,12.26
12,Chelsea Kane,4,12.52
12,Chelsea Kane,5,12.56
12,Chelsea Kane,6,12.61
12,Chelsea Kane,7,12.99
12,Chelsea Kane,8,13.09
12,Chelsea Kane,9,13.61
12,Chelsea Kane,10,21.52
12,Chris Jericho,1,4.61
12,Chris Jericho,2,4.3
12,Chris Jericho,3,4.05
12,Chris Jericho,4,3.9
12,Chris Jericho,5,3.64
12,Chris Jericho,6,3.39
12,Hines Ward,1,12.37
12,Hines Ward,2,12.29
12,Hines Ward,3,12.3
12,Hines Ward,4,12.68
12,Hines Ward,5,12.74
12,Hines Ward,6,12.92
12,Hines Ward,7,13.31
12,Hines Ward,8,13.67
12,Hines Ward,9,14.28
12,Hines Ward,10,22.68
12,Kendra Wilkinson,1,6.89
12,Kendra Wilkinson,2,6.56
12,Kendra Wilkinson,3,6.35
12,Kendra Wilkinson,4,6.23
12,Kendra Wilkinson,5,5.3
12,Kendra Wilkinson,6,4.22
12,Kendra Wilkinson,7,3.41
12,Kirstie Alley,1,23.82
12,Kirstie Alley,2,24.58
12,Kirstie Alley,3,25.71
12,Kirstie Alley,4,27.47
12,Kirstie Alley,5,28.75
12,Kirstie Alley,6,29.95
12,Kirstie Alley,7,31.99
12,Kirstie Alley,8,33.0
12,Kirstie Alley,9,35.3
12,Kirstie Alley,10,55.79
12,Mike Catherwood,1,0.64
12,Mike Catherwood,2,0.52
12,Petra Nemcova,1,2.65
12,Petra Nemcova,2,2.38
12,Petra Nemcova,3,2.12
12,Petra Nemcova,4,1.93
12,Petra Nemcova,5,1.69
12,Ralph Macchio,1,25.18
12,Ralph Macchio,2,26.48
12,Ralph Macchio,3,27.39
12,Ralph Macchio,4,29.86
12,Ralph Macchio,5,31.01
12,Ralph Macchio,6,32.87
12,Ralph Macchio,7,34.42
12,Ralph Macchio,8,37.0
12,Ralph Macchio,9,36.81
12,Romeo,1,5.29
12,Romeo,2,4.97
12,Romeo,3,4.73
12,Romeo,4,4.58
12,Romeo,5,4.31
12,Romeo,6,4.04
12,Romeo,7,3.88
12,Romeo,8,3.24
12,Sugar Ray Leonard,1,1.45
12,Sugar Ray Leonard,2,1.25
12,Sugar Ray Leonard,3,1.02
12,Sugar Ray Leonard,4,0.83
