season,week,celebrity,judge_score_total,eliminated_flag
4,2,Leeza Gibbons,21.0,0
4,2,Paulina Porizkova,21.0,1
4,2,Shandi Finnessey,20.0,0
4,3,Apolo Anton Ohno,23.0,0
4,3,Billy Ray Cyrus,21.0,0
4,3,Clyde Drexler,16.0,0
4,3,Heather Mills,24.0,0
4,3,Ian Ziering,24.0,0
4,3,Joey Fatone,24.0,0
4,3,John Ratzenberger,20.0,0
4,3,Laila Ali,21.0,0
4,3,Leeza Gibbons,24.0,0
4,3,Shandi Finnessey,21.0,1
4,4,Apolo Anton Ohno,26.0,0
4,4,Billy Ray Cyrus,21.0,0
4,4,Clyde Drexler,15.0,0
4,4,Heather Mills,23.0,0
4,4,Ian Ziering,24.0,0
4,4,Joey Fatone,28.0,0
4,4,John Ratzenberger,16.0,0
4,4,Laila Ali,21.0,0
4,4,Leeza Gibbons,16.0,1
4,5,Apolo Anton Ohno,30.0,0
4,5,Billy Ray Cyrus,17.0,0
4,5,Clyde Drexler,13.0,1
4,5,Heather Mills,21.0,0
4,5,Ian Ziering,24.0,0
4,5,Joey Fatone,25.0,0
4,5,John Ratzenberger,18.0,0
4,5,Laila Ali,28.0,0
4,6,Apolo Anton Ohno,28.0,0
4,6,Billy Ray Cyrus,21.0,0
4,6,Heather Mills,23.0,1
4,6,Ian Ziering,24.0,0
4,6,Joey Fatone,27.0,0
4,6,John Ratzenberger,19.0,0
4,6,Laila Ali,28.0,0
4,7,Apolo Anton Ohno,27.0,0
4,7,Billy Ray Cyrus,19.0,0
4,7,Ian Ziering,27.0,0
4,7,Joey Fatone,29.5,0
4,7,John Ratzenberger,22.5,1
4,7,Laila Ali,29.5,0
4,8,Apolo Anton Ohno,29.0,0
4,8,Billy Ray Cyrus,19.0,1
4,8,Ian Ziering,23.5,0
4,8,Joey Fatone,27.5,0
4,8,Laila Ali,26.5,0
4,9,Apolo Anton Ohno,29.5,0
4,9,Ian Ziering,29.0,1
4,9,Joey Fatone,30.0,0
4,9,Laila Ali,30.0,0
4,10,Apolo Anton Ohno,29.3332,1
4,10,Joey Fatone,28.6665,1
4,10,Laila Ali,28.333200000000005,1
5,1,Albert Reed,21.0,0
5,1,Cameron Mathison,21.0,0
5,1,Floyd Mayweather Jr. ,18.0,0
5,1,Helio Castroneves,25.0,0
5,1,Jane Seymour,24.0,0
5,1,Jennie Garth,21.0,0
5,1,Josie Maran,16.0,1
5,1,Marie Osmond,21.0,0
5,1,Mark Cuban,21.0,0
5,1,Mel B,24.0,0
5,1,Sabrina Bryan,26.0,0
5,1,Wayne Newton,19.0,0
5,2,Albert Reed,21.0,1
5,2,Cameron Mathison,21.0,0
5,2,Floyd Mayweather Jr. ,21.0,0
5,2,Helio Castroneves,27.0,0
5,2,Jane Seymour,21.0,0
5,2,Jennie Garth,21.0,0
5,2,Marie Osmond,24.0,0
5,2,Mark Cuban,18.0,0
5,2,Mel B,23.0,0
5,2,Sabrina Bryan,26.0,0
5,2,Wayne Newton,15.0,0
5,3,Cameron Mathison,23.0,0
5,3,Floyd Mayweather Jr. ,21.0,0
5,3,Helio Castroneves,24.0,0
5,3,Jane Seymour,27.0,0
5,3,Jennie Garth,26.0,0
5,3,Marie Osmond,26.0,0
5,3,Mark Cuban,20.0,0
5,3,Mel B,27.0,0
5,3,Sabrina Bryan,27.0,0
5,3,Wayne Newton,18.0,1
5,4,Cameron Mathison,27.0,0
5,4,Floyd Mayweather Jr. ,23.0,1
5,4,Helio Castroneves,27.0,0
5,4,Jane Seymour,26.0,0
5,4,Jennie Garth,27.0,0
5,4,Marie Osmond,26.0,0
5,4,Mark Cuban,22.0,0
5,4,Mel B,26.0,0
5,4,Sabrina Bryan,30.0,0
5,5,Cameron Mathison,26.0,0
5,5,Helio Castroneves,23.0,0
5,5,Jane Seymour,26.0,0
5,5,Jennie Garth,25.0,0
5,5,Marie Osmond,21.0,0
5,5,Mark Cuban,21.0,1
5,5,Mel B,29.0,0
5,5,Sabrina Bryan,28.0,0
5,6,Cameron Mathison,25.0,0
5,6,Helio Castroneves,28.0,0
5,6,Jane Seymour,22.0,0
5,6,Jennie Garth,27.0,0
5,6,Marie Osmond,23.0,0
5,6,Mel B,30.0,0
5,6,Sabrina Bryan,25.0,1
5,7,Cameron Mathison,25.5,0
5,7,Helio Castroneves,26.0,0
5,7,Jane Seymour,25.0,1
5,7,Jennie Garth,26.5,0
5,7,Marie Osmond,26.0,0
5,7,Mel B,27.0,0
5,8,Cameron Mathison,25.5,1
5,8,Helio Castroneves,28.5,0
5,8,Jennie Garth,25.0,0
5,8,Marie Osmond,24.5,0
5,8,Mel B,28.0,0
5,9,Helio Castroneves,30.0,0
5,9,Jennie Garth,29.0,1
5,9,Marie Osmond,28.0,0
5,9,Mel B,30.0,0
5,10,Helio Castroneves,27.999900000000004,1
5,10,Marie Osmond,23.0,1
5,10,Mel B,28.333199999999998,1
6,1,Adam Carolla,15.0,0
6,1,Cristian de la Fuente,21.0,0
6,1,Jason Taylor,22.0,0
6,1,Kristi Yamaguchi,27.0,0
6,1,Mario,24.0,0
6,1,Marissa Jaret Winokur,18.0,0
6,1,Marlee Matlin,22.0,0
6,1,Monica Seles,15.0,0
6,1,Penn Jillette,16.0,0
6,1,Priscilla Presley,24.0,0
6,1,Shannon Elizabeth,21.0,0
6,1,Steve Guttenberg,18.0,0
6,2,Adam Carolla,19.0,0
6,2,Cristian de la Fuente,20.0,0
6,2,Jason Taylor,27.0,0
6,2,Kristi Yamaguchi,27.0,0
6,2,Mario,26.0,0
6,2,Marissa Jaret Winokur,21.0,0
6,2,Marlee Matlin,24.0,0
6,2,Monica Seles,15.0,1
6,2,Penn Jillette,17.0,1
6,2,Priscilla Presley,21.0,0
6,2,Shannon Elizabeth,24.0,0
6,2,Steve Guttenberg,16.0,0
6,3,Adam Carolla,21.0,0
6,3,Cristian de la Fuente,25.0,0
6,3,Jason Taylor,23.0,0
6,3,Kristi Yamaguchi,27.0,0
6,3,Mario,21.0,0
6,3,Marissa Jaret Winokur,19.0,0
6,3,Marlee Matlin,21.0,0
6,3,Priscilla Presley,26.0,0
6,3,Shannon Elizabeth,24.0,0
6,3,Steve Guttenberg,21.0,1
6,4,Adam Carolla,19.0,1
6,4,Cristian de la Fuente,26.0,0
6,4,Jason Taylor,29.0,0
6,4,Kristi Yamaguchi,29.0,0
6,4,Mario,24.0,0
6,4,Marissa Jaret Winokur,24.0,0
6,4,Marlee Matlin,24.0,0
6,4,Priscilla Presley,22.0,0
6,4,Shannon Elizabeth,28.0,0
6,5,Cristian de la Fuente,23.0,0
6,5,Jason Taylor,27.0,0
6,5,Kristi Yamaguchi,29.0,0
6,5,Mario,27.0,0
6,5,Marissa Jaret Winokur,24.0,0
6,5,Marlee Matlin,22.0,0
6,5,Priscilla Presley,21.0,1
6,5,Shannon Elizabeth,23.0,0
6,6,Cristian de la Fuente,27.0,0
6,6,Jason Taylor,24.0,0
6,6,Kristi Yamaguchi,30.0,0
6,6,Mario,28.0,0
6,6,Marissa Jaret Winokur,26.0,0
6,6,Marlee Matlin,21.0,1
6,6,Shannon Elizabeth,24.0,0
6,7,Cristian de la Fuente,23.0,0
6,7,Jason Taylor,27.5,0
6,7,Kristi Yamaguchi,27.0,0
6,7,Mario,25.5,0
6,7,Marissa Jaret Winokur,26.0,0
6,7,Shannon Elizabeth,25.5,1
6,8,Cristian de la Fuente,28.5,0
6,8,Jason Taylor,26.0,0
6,8,Kristi Yamaguchi,27.5,0
6,8,Mario,26.5,1
6,8,Marissa Jaret Winokur,25.0,0
6,9,Cristian de la Fuente,28.0,0
6,9,Jason Taylor,27.5,0
6,9,Kristi Yamaguchi,28.5,0
6,9,Marissa Jaret Winokur,26.0,1
6,10,Cristian de la Fuente,26.0,1
6,10,Jason Taylor,28.5,1
6,10,Kristi Yamaguchi,30.0,1
7,1,Brooke Burke,24.5,0
7,1,Cloris Leachman,16.0,0
7,1,Cody Linley,20.5,0
7,1,Jeffrey Ross,12.0,1
7,1,Kim Kardashian,18.5,0
7,1,Lance Bass,21.5,0
7,1,Maurice Greene,19.5,0
7,1,Misty May-Treanor,21.0,0
7,1,Rocco DiSpirito,17.5,0
7,1,Susan Lucci,18.5,0
7,1,Ted McGinley,18.5,1
7,1,Toni Braxton,22.5,0
7,1,Warren Sapp,21.5,0
7,2,Brooke Burke,24.0,0
7,2,Cloris Leachman,15.0,0
7,2,Cody Linley,21.0,0
7,2,Kim Kardashian,17.0,1
7,2,Lance Bass,20.0,0
7,2,Maurice Greene,19.0,0
7,2,Misty May-Treanor,21.0,1
7,2,Rocco DiSpirito,16.0,0
7,2,Susan Lucci,21.0,0
7,2,Toni Braxton,23.0,0
7,2,Warren Sapp,24.0,0
7,3,Brooke Burke,28.0,0
7,3,Cloris Leachman,16.0,0
7,3,Cody Linley,21.0,0
7,3,Lance Bass,22.0,0
7,3,Maurice Greene,24.0,0
7,3,Rocco DiSpirito,20.0,0
7,3,Susan Lucci,21.0,0
7,3,Toni Braxton,22.0,0
7,3,Warren Sapp,25.0,0
7,4,Brooke Burke,26.0,0
7,4,Cloris Leachman,22.0,0
7,4,Cody Linley,23.0,0
7,4,Lance Bass,26.0,0
7,4,Maurice Greene,20.0,0
7,4,Rocco DiSpirito,18.0,1
7,4,Susan Lucci,24.0,0
7,4,Toni Braxton,22.0,0
7,4,Warren Sapp,22.0,0
7,5,Brooke Burke,29.0,0
7,5,Cloris Leachman,21.0,0
7,5,Cody Linley,28.0,0
7,5,Lance Bass,21.0,0
7,5,Maurice Greene,27.0,0
7,5,Susan Lucci,22.0,0
7,5,Toni Braxton,22.0,1
7,5,Warren Sapp,25.0,0
7,6,Brooke Burke,26.0,0
7,6,Cloris Leachman,15.0,1
7,6,Cody Linley,23.0,0
7,6,Lance Bass,27.0,0
7,6,Maurice Greene,21.0,0
7,6,Susan Lucci,23.0,0
7,6,Warren Sapp,25.0,0
7,7,Brooke Burke,30.0,0
7,7,Cody Linley,22.0,0
7,7,Lance Bass,25.0,0
7,7,Maurice Greene,25.0,0
7,7,Susan Lucci,24.0,1
7,7,Warren Sapp,21.0,0
7,8,Brooke Burke,27.5,0
7,8,Cody Linley,24.0,0
7,8,Lance Bass,25.0,0
7,8,Maurice Greene,24.0,1
7,8,Warren Sapp,27.0,0
7,9,Brooke Burke,24.5,0
7,9,Cody Linley,23.0,1
7,9,Lance Bass,28.5,0
7,9,Warren Sapp,24.5,0
7,10,Brooke Burke,30.0,1
7,10,Lance Bass,27.5,1
7,10,Warren Sapp,27.5,1
8,1,Belinda Carlisle,17.0,0
8,1,Chuck Wicks,20.0,0
8,1,David Alan Grier,19.0,0
8,1,Denise Richards,18.0,0
8,1,Gilles Marini,24.0,0
8,1,Holly Madison,18.0,0
8,1,Lawrence Taylor,16.0,0
8,1,Lil' Kim,21.0,0
8,1,Melissa Rycroft,23.0,0
8,1,Shawn Johnson,23.0,0
8,1,Steve Wozniak,13.0,0
8,1,Steve-O,17.0,0
8,1,Ty Murray,14.0,1
8,2,Belinda Carlisle,18.0,1
8,2,Chuck Wicks,20.0,0
8,2,David Alan Grier,17.0,0
8,2,Denise Richards,21.0,0
8,2,Gilles Marini,27.0,0
8,2,Holly Madison,18.0,0
8,2,Lawrence Taylor,20.0,0
8,2,Lil' Kim,23.0,0
8,2,Melissa Rycroft,26.0,0
8,2,Shawn Johnson,24.0,0
8,2,Steve Wozniak,17.0,0
8,2,Steve-O,14.0,0
8,2,Ty Murray,20.0,0
8,3,Chuck Wicks,23.0,0
8,3,David Alan Grier,24.0,0
8,3,Denise Richards,16.0,1
8,3,Gilles Marini,27.0,0
8,3,Holly Madison,17.0,0
8,3,Lawrence Taylor,20.0,0
8,3,Lil' Kim,25.0,0
8,3,Melissa Rycroft,27.0,0
8,3,Shawn Johnson,27.0,0
8,3,Steve Wozniak,10.0,0
8,3,Steve-O,15.0,0
8,3,Ty Murray,23.0,0
8,4,Chuck Wicks,22.0,0
8,4,David Alan Grier,22.0,0
8,4,Gilles Marini,30.0,0
8,4,Holly Madison,16.0,1
8,4,Lawrence Taylor,19.0,0
8,4,Lil' Kim,27.0,0
8,4,Melissa Rycroft,29.0,0
8,4,Shawn Johnson,25.0,0
8,4,Steve Wozniak,12.0,1
8,4,Steve-O,15.0,0
8,4,Ty Murray,25.0,0
8,5,Chuck Wicks,23.0,0
8,5,David Alan Grier,22.0,1
8,5,Gilles Marini,29.0,0
8,5,Lawrence Taylor,20.0,0
8,5,Lil' Kim,26.0,0
8,5,Melissa Rycroft,25.0,0
8,5,Shawn Johnson,26.0,0
8,5,Steve-O,18.0,0
8,5,Ty Murray,21.0,0
8,6,Chuck Wicks,23.0,0
8,6,Gilles Marini,26.0,0
8,6,Lawrence Taylor,22.0,0
8,6,Lil' Kim,28.0,0
8,6,Melissa Rycroft,27.0,0
8,6,Shawn Johnson,26.0,0
8,6,Steve-O,16.0,1
8,6,Ty Murray,18.0,0
8,7,Chuck Wicks,27.0,0
8,7,Gilles Marini,27.0,0
8,7,Lawrence Taylor,21.0,1
8,7,Lil' Kim,26.0,0
8,7,Melissa Rycroft,29.0,0
8,7,Shawn Johnson,28.0,0
8,7,Ty Murray,24.0,0
8,8,Chuck Wicks,25.5,1
8,8,Gilles Marini,27.5,0
8,8,Lil' Kim,28.0,0
8,8,Melissa Rycroft,23.0,0
8,8,Shawn Johnson,26.0,0
8,8,Ty Murray,26.0,0
8,9,Gilles Marini,28.0,0
8,9,Lil' Kim,26.0,1
8,9,Melissa Rycroft,28.5,0
8,9,Shawn Johnson,28.0,0
8,9,Ty Murray,23.0,0
8,10,Gilles Marini,30.0,0
8,10,Melissa Rycroft,27.5,0
8,10,Shawn Johnson,28.0,0
8,10,Ty Murray,24.0,1
8,11,Gilles Marini,29.0,0
8,11,Melissa Rycroft,28.5,0
8,11,Shawn Johnson,30.0,0
9,1,Aaron Carter,31.999899999999997,0
9,1,Ashley Hamiliton,18.9999,1
9,1,Chuck Liddell,22.0,0
9,1,Debi Mazar,22.0,0
9,1,Donny Osmond,29.999899999999997,0
9,1,Joanna Krupa,33.9999,0
9,1,Kathy Ireland,19.9999,0
9,1,Kelly Osbourne,30.9998,0
9,1,Louie Vito,26.9998,0
9,1,Macy Gray,18.9999,1
9,1,Mark Dacascos,28.9998,0
9,1,Melissa Joan Hart,24.0,0
9,1,Michael Irvin,19.0,0
9,1,Mya,30.999899999999997,0
9,1,Natalie Coughlin,26.9998,0
9,1,Tom DeLay,19.9999,0
9,2,Aaron Carter,27.0,0
9,2,Chuck Liddell,19.0,0
9,2,Debi Mazar,21.0,0
9,2,Donny Osmond,25.0,0
9,2,Joanna Krupa,20.0,0
9,2,Kathy Ireland,18.0,1
9,2,Kelly Osbourne,19.0,0
9,2,Louie Vito,19.0,0
9,2,Mark Dacascos,21.0,0
9,2,Melissa Joan Hart,19.0,0
9,2,Michael Irvin,20.0,0
9,2,Mya,27.0,0
9,2,Natalie Coughlin,21.0,0
9,2,Tom DeLay,18.0,0
9,3,Aaron Carter,21.0,0
9,3,Chuck Liddell,17.0,0
9,3,Debi Mazar,17.0,1
9,3,Donny Osmond,21.0,0
9,3,Joanna Krupa,23.0,0
9,3,Kelly Osbourne,20.0,0
9,3,Louie Vito,20.0,0
9,3,Mark Dacascos,18.0,0
9,3,Melissa Joan Hart,19.0,0
9,3,Michael Irvin,14.0,0
9,3,Mya,27.0,0
9,3,Natalie Coughlin,26.0,0
9,3,Tom DeLay,15.0,1
9,4,Aaron Carter,18.0,0
9,4,Chuck Liddell,17.0,1
9,4,Donny Osmond,24.0,0
9,4,Joanna Krupa,26.0,0
9,4,Kelly Osbourne,23.0,0
9,4,Louie Vito,16.0,0
9,4,Mark Dacascos,22.0,0
9,4,Melissa Joan Hart,28.0,0
9,4,Michael Irvin,16.0,0
9,4,Mya,28.0,0
9,4,Natalie Coughlin,24.0,0
9,5,Aaron Carter,24.0,0
9,5,Donny Osmond,29.0,0
9,5,Joanna Krupa,24.0,0
9,5,Kelly Osbourne,24.0,0
9,5,Louie Vito,22.0,0
9,5,Mark Dacascos,26.0,0
9,5,Melissa Joan Hart,23.0,0
9,5,Michael Irvin,21.0,0
9,5,Mya,27.0,0
9,5,Natalie Coughlin,22.0,1
9,6,Aaron Carter,32.9998,0
9,6,Donny Osmond,30.999899999999997,0
9,6,Joanna Krupa,35.9999,0
9,6,Kelly Osbourne,24.9998,0
9,6,Louie Vito,24.0,1
9,6,Mark Dacascos,32.0,0
9,6,Melissa Joan Hart,23.9999,1
9,6,Michael Irvin,21.9998,0
9,6,Mya,33.0,0
9,7,Aaron Carter,26.5,0
9,7,Donny Osmond,26.0,0
9,7,Joanna Krupa,27.5,0
9,7,Kelly Osbourne,26.0,0
9,7,Mark Dacascos,21.5,1
9,7,Michael Irvin,23.5,1
9,7,Mya,24.5,0
9,8,Aaron Carter,25.0,1
9,8,Donny Osmond,25.0,0
9,8,Joanna Krupa,26.0,0
9,8,Kelly Osbourne,25.5,0
9,8,Mya,29.5,0
9,9,Donny Osmond,24.666600000000003,0
9,9,Joanna Krupa,27.0,1
9,9,Kelly Osbourne,25.9998,0
9,9,Mya,28.9999,0
9,10,Donny Osmond,28.9998,1
9,10,Kelly Osbourne,25.2222,1
9,10,Mya,28.333199999999998,1
10,1,Aiden Turner,15.0,0
10,1,Buzz Aldrin,14.0,0
10,1,Chad Ochocinco,18.0,0
10,1,Erin Andrews,21.0,0
10,1,Evan Lysacek,23.0,0
10,1,Jake Pavelka,20.0,0
10,1,Kate Gosselin,16.0,0
10,1,Nicole Scherzinger,25.0,0
10,1,Niecy Nash,18.0,0
10,1,Pamela Anderson,21.0,0
10,1,Shannen Doherty,18.0,0
10,2,Aiden Turner,19.0,0
10,2,Buzz Aldrin,12.0,0
10,2,Chad Ochocinco,16.0,0
10,2,Erin Andrews,23.0,0
10,2,Evan Lysacek,24.0,0
10,2,Jake Pavelka,20.0,0
10,2,Kate Gosselin,15.0,0
10,2,Nicole Scherzinger,28.0,0
10,2,Niecy Nash,21.0,0
10,2,Pamela Anderson,22.0,0
10,2,Shannen Doherty,20.0,1
10,3,Aiden Turner,20.0,0
10,3,Buzz Aldrin,13.0,1
10,3,Chad Ochocinco,20.0,0
10,3,Erin Andrews,23.0,0
10,3,Evan Lysacek,26.0,0
10,3,Jake Pavelka,21.0,0
10,3,Kate Gosselin,15.0,0
10,3,Nicole Scherzinger,23.0,0
10,3,Niecy Nash,21.0,0
10,3,Pamela Anderson,21.0,0
10,4,Aiden Turner,16.5,1
10,4,Chad Ochocinco,22.0,0
10,4,Erin Andrews,19.5,0
10,4,Evan Lysacek,26.0,0
10,4,Jake Pavelka,19.0,0
10,4,Kate Gosselin,16.0,0
10,4,Nicole Scherzinger,25.0,0
10,4,Niecy Nash,18.0,0
10,4,Pamela Anderson,23.5,0
10,5,Chad Ochocinco,18.0,0
10,5,Erin Andrews,22.0,0
10,5,Evan Lysacek,27.0,0
10,5,Jake Pavelka,23.0,0
10,5,Kate Gosselin,15.0,1
10,5,Nicole Scherzinger,29.0,0
10,5,Niecy Nash,18.0,0
10,5,Pamela Anderson,21.0,0
10,6,Chad Ochocinco,30.999899999999997,0
10,6,Erin Andrews,34.0,0
10,6,Evan Lysacek,27.0,0
10,6,Jake Pavelka,24.999899999999997,1
10,6,Nicole Scherzinger,35.9999,0
10,6,Niecy Nash,25.9998,0
10,6,Pamela Anderson,29.9998,0
10,7,Chad Ochocinco,26.0,0
10,7,Erin Andrews,25.5,0
10,7,Evan Lysacek,27.0,0
10,7,Nicole Scherzinger,27.0,0
10,7,Niecy Nash,24.5,0
10,7,Pamela Anderson,25.5,1
10,8,Chad Ochocinco,22.5,0
10,8,Erin Andrews,26.5,0
10,8,Evan Lysacek,26.5,0
10,8,Nicole Scherzinger,29.5,0
10,8,Niecy Nash,21.5,1
10,9,Chad Ochocinco,26.0,1
10,9,Erin Andrews,28.0,0
10,9,Evan Lysacek,29.5,0
10,9,Nicole Scherzinger,29.5,0
10,10,Erin Andrews,26.9998,1
10,10,Evan Lysacek,26.888699999999996,1
10,10,Nicole Scherzinger,28.7777,1
11,1,Audrina Patridge,19.0,0
11,1,Brandy,23.0,0
11,1,Bristol Palin,18.0,0
11,1,David Hasselhoff,15.0,1
11,1,Florence Henderson,18.0,0
11,1,Jennifer Grey,24.0,0
11,1,Kurt Warner,19.0,0
11,1,Kyle Massey,23.0,0
11,1,Margaret Cho,15.0,0
11,1,Michael Bolton,16.0,0
11,1,Rick Fox,22.0,0
11,1,The Situation,15.0,0
11,2,Audrina Patridge,23.0,0
11,2,Brandy,21.0,0
11,2,Bristol Palin,22.0,0
11,2,Florence Henderson,19.0,0
11,2,Jennifer Grey,24.0,0
11,2,Kurt Warner,21.0,0
11,2,Kyle Massey,22.0,0
11,2,Margaret Cho,18.0,0
11,2,Michael Bolton,12.0,1
11,2,Rick Fox,21.0,0
11,2,The Situation,18.0,0
11,3,Audrina Patridge,26.0,0
11,3,Brandy,24.0,0
11,3,Bristol Palin,19.0,0
11,3,Florence Henderson,20.0,0
11,3,Jennifer Grey,24.0,0
11,3,Kurt Warner,23.0,0
11,3,Kyle Massey,23.0,0
11,3,Margaret Cho,18.0,1
11,3,Rick Fox,24.0,0
11,3,The Situation,20.0,0
11,4,Audrina Patridge,23.0,0
11,4,Brandy,24.0,0
11,4,Bristol Palin,16.0,0
11,4,Florence Henderson,17.5,0
11,4,Jennifer Grey,28.0,0
11,4,Kurt Warner,17.0,0
11,4,Kyle Massey,20.0,0
11,4,Rick Fox,19.5,0
11,4,The Situation,14.0,1
11,5,Audrina Patridge,23.0,0
11,5,Brandy,27.0,0
11,5,Bristol Palin,18.0,0
11,5,Florence Henderson,21.0,1
11,5,Jennifer Grey,25.0,0
11,5,Kurt Warner,24.0,0
