season,week,method,n_candidates,n_eliminated,eliminated,constraint_satisfied,violation_count,margin_min,margin_avg,pairwise_total,pairwise_violated,pairwise_violation_rate
4,4,Percent Sum (S3-27),9,1,Leeza Gibbons,1,0,3.154157521015259,3.154157521015259,8,0,0.0
4,5,Percent Sum (S3-27),8,1,Clyde Drexler,0,3,-7.413349574133498,-7.413349574133498,7,3,0.42857142857142855
4,6,Percent Sum (S3-27),7,1,Heather Mills,1,0,5.386284900921671,5.386284900921671,6,0,0.0
4,7,Percent Sum (S3-27),6,1,John Ratzenberger,1,0,2.4025703541227905,2.4025703541227905,5,0,0.0
4,8,Percent Sum (S3-27),5,1,Billy Ray Cyrus,0,4,-22.21434262948207,-22.21434262948207,4,4,1.0
4,9,Percent Sum (S3-27),4,1,Ian Ziering,1,0,19.83388185654009,19.83388185654009,3,0,0.0
5,1,Percent Sum (S3-27),12,1,Josie Maran,1,0,0.8655252918287939,0.8655252918287939,11,0,0.0
5,2,Percent Sum (S3-27),11,1,Albert Reed,1,0,2.4800000000000004,2.4800000000000004,10,0,0.0
5,3,Percent Sum (S3-27),10,1,Wayne Newton,0,2,-2.4047698744769885,-2.4047698744769885,9,2,0.2222222222222222
5,4,Percent Sum (S3-27),9,1,Floyd Mayweather Jr. ,1,0,1.4813019763514799,1.4813019763514799,8,0,0.0
5,5,Percent Sum (S3-27),8,1,Mark Cuban,0,2,-2.6030241215076266,-2.6030241215076266,7,2,0.2857142857142857
5,6,Percent Sum (S3-27),7,1,Sabrina Bryan,1,0,1.5236523652365221,1.5236523652365221,6,0,0.0
5,7,Percent Sum (S3-27),6,1,Jane Seymour,1,0,1.2405128205128229,1.2405128205128229,5,0,0.0
5,8,Percent Sum (S3-27),5,1,Cameron Mathison,1,0,3.5393799023139536,3.5393799023139536,4,0,0.0
5,9,Percent Sum (S3-27),4,1,Jennie Garth,1,0,11.264700854700855,11.264700854700855,3,0,0.0
6,2,Percent Sum (S3-27),12,2,"Monica Seles, Penn Jillette",0,1,-0.3216798942673815,0.0,20,0,0.0
6,3,Percent Sum (S3-27),10,1,Steve Guttenberg,1,0,1.4757894736842108,1.4757894736842108,9,0,0.0
6,4,Percent Sum (S3-27),9,1,Adam Carolla,0,3,-2.586666666666666,-2.586666666666666,8,3,0.375
6,5,Percent Sum (S3-27),8,1,Priscilla Presley,1,0,0.2804081632653066,0.2804081632653066,7,0,0.0
6,6,Percent Sum (S3-27),7,1,Marlee Matlin,0,1,-3.1533333333333324,-3.1533333333333324,6,1,0.16666666666666666
6,7,Percent Sum (S3-27),6,1,Shannon Elizabeth,1,0,1.85981401859814,1.85981401859814,5,0,0.0
6,8,Percent Sum (S3-27),5,1,Mario,1,0,10.539063670411988,10.539063670411988,4,0,0.0
6,9,Percent Sum (S3-27),4,1,Marissa Jaret Winokur,0,1,-8.25727272727272,-8.25727272727272,3,1,0.3333333333333333
7,1,Percent Sum (S3-27),13,2,"Ted McGinley, Jeffrey Ross",0,1,-0.34914205706285006,0.0,22,0,0.0
7,2,Percent Sum (S3-27),11,1,Kim Kardashian,1,0,0.8899547511312207,0.8899547511312207,10,0,0.0
7,4,Percent Sum (S3-27),9,1,Rocco DiSpirito,0,1,-1.8995566502463053,-1.8995566502463053,8,1,0.125
7,5,Percent Sum (S3-27),8,1,Toni Braxton,1,0,1.0899999999999999,1.0899999999999999,7,0,0.0
7,6,Percent Sum (S3-27),7,1,Cloris Leachman,0,3,-13.111811181118117,-13.111811181118117,6,3,0.5
7,7,Percent Sum (S3-27),6,1,Susan Lucci,1,0,4.970701151747825,4.970701151747825,5,0,0.0
7,8,Percent Sum (S3-27),5,1,Maurice Greene,1,0,9.820000000000004,9.820000000000004,4,0,0.0
7,9,Percent Sum (S3-27),4,1,Cody Linley,1,0,7.052537313432836,7.052537313432836,3,0,0.0
8,2,Percent Sum (S3-27),13,1,Belinda Carlisle,1,0,0.2527045157345924,0.2527045157345924,12,0,0.0
8,3,Percent Sum (S3-27),12,1,Denise Richards,1,0,2.533486808799436,2.533486808799436,11,0,0.0
8,4,Percent Sum (S3-27),11,2,"Steve Wozniak, Holly Madison",0,10,-28.514090739686367,-13.90728695725469,18,9,0.5
8,5,Percent Sum (S3-27),9,1,David Alan Grier,1,0,1.7461904761904758,1.7461904761904758,8,0,0.0
8,6,Percent Sum (S3-27),8,1,Steve-O,0,7,-24.4893844223132,-24.4893844223132,7,7,1.0
8,7,Percent Sum (S3-27),7,1,Lawrence Taylor,0,2,-7.802747252747253,-7.802747252747253,6,2,0.3333333333333333
8,8,Percent Sum (S3-27),6,1,Chuck Wicks,1,0,1.662564102564101,1.662564102564101,5,0,0.0
8,9,Percent Sum (S3-27),5,1,Lil' Kim,1,0,12.718127340823969,12.718127340823969,4,0,0.0
8,10,Percent Sum (S3-27),4,1,Ty Murray,0,2,-5.270547945205479,-5.270547945205479,3,2,0.6666666666666666
9,1,Percent Sum (S3-27),16,2,"Ashley Hamiliton, Macy Gray",1,0,0.0,0.0,28,0,0.0
9,2,Percent Sum (S3-27),14,1,Kathy Ireland,1,0,0.6304081632653054,0.6304081632653054,13,0,0.0
9,3,Percent Sum (S3-27),13,1,Debi Mazar,1,0,0.8300000000000001,0.8300000000000001,12,0,0.0
9,4,Percent Sum (S3-27),11,1,Chuck Liddell,1,0,1.6730971530946084,1.6730971530946084,10,0,0.0
9,5,Percent Sum (S3-27),10,1,Natalie Coughlin,1,0,1.2031441483950793,1.2031441483950793,9,0,0.0
9,6,Percent Sum (S3-27),9,2,"Melissa Joan Hart, Louie Vito",0,1,-1.5997185256588011,0.0,14,0,0.0
9,7,Percent Sum (S3-27),7,2,"Mark Dacascos, Michael Irvin",0,6,-29.572444423929575,-13.806893509863809,10,5,0.5
9,8,Percent Sum (S3-27),5,1,Aaron Carter,0,1,-0.016641221374047888,-0.016641221374047888,4,1,0.25
9,9,Percent Sum (S3-27),4,1,Joanna Krupa,1,0,22.674912695012395,22.674912695012395,3,0,0.0
10,2,Percent Sum (S3-27),11,1,Shannen Doherty,1,0,1.6556655665566549,1.6556655665566549,10,0,0.0
10,3,Percent Sum (S3-27),10,1,Buzz Aldrin,0,3,-5.811724137931035,-5.811724137931035,9,3,0.3333333333333333
10,4,Percent Sum (S3-27),9,1,Aiden Turner,1,0,3.2475189138768084,3.2475189138768084,8,0,0.0
10,5,Percent Sum (S3-27),8,1,Kate Gosselin,0,2,-6.042743002623961,-6.042743002623961,7,2,0.2857142857142857
10,6,Percent Sum (S3-27),7,1,Jake Pavelka,1,0,0.8019865996086377,0.8019865996086377,6,0,0.0
10,7,Percent Sum (S3-27),6,1,Pamela Anderson,1,0,12.196913183279744,12.196913183279744,5,0,0.0
10,8,Percent Sum (S3-27),5,1,Niecy Nash,1,0,6.040513833992097,6.040513833992097,4,0,0.0
10,9,Percent Sum (S3-27),4,1,Chad Ochocinco,1,0,2.7673121294430345,2.7673121294430345,3,0,0.0
11,1,Percent Sum (S3-27),12,1,David Hasselhoff,1,0,1.2401240124012398,1.2401240124012398,11,0,0.0
11,2,Percent Sum (S3-27),11,1,Michael Bolton,1,0,1.834844117895953,1.834844117895953,10,0,0.0
11,3,Percent Sum (S3-27),10,1,Margaret Cho,1,0,1.1549523780653619,1.1549523780653619,9,0,0.0
11,4,Percent Sum (S3-27),9,1,The Situation,1,0,1.155307262569833,1.155307262569833,8,0,0.0
11,5,Percent Sum (S3-27),8,1,Florence Henderson,1,0,0.5589010989010994,0.5589010989010994,7,0,0.0
11,6,Percent Sum (S3-27),7,1,Audrina Patridge,1,0,0.6939097765064908,0.6939097765064908,6,0,0.0
11,7,Percent Sum (S3-27),6,1,Rick Fox,1,0,3.0592326139088684,3.0592326139088684,5,0,0.0
11,8,Percent Sum (S3-27),5,1,Kurt Warner,0,1,-2.6837735849056585,-2.6837735849056585,4,1,0.25
11,9,Percent Sum (S3-27),4,1,Brandy,1,0,12.75578947368421,12.75578947368421,3,0,0.0
12,2,Percent Sum (S3-27),11,1,Mike Catherwood,1,0,0.7300000000000004,0.7300000000000004,10,0,0.0
12,3,Percent Sum (S3-27),10,1,Wendy Williams,0,1,-0.7038554322721993,-0.7038554322721993,9,1,0.1111111111111111
12,4,Percent Sum (S3-27),9,1,Sugar Ray Leonard,1,0,2.070873786407768,2.070873786407768,8,0,0.0
12,5,Percent Sum (S3-27),8,1,Petra Nemcova,1,0,3.6099999999999994,3.6099999999999994,7,0,0.0
12,6,Percent Sum (S3-27),7,1,Chris Jericho,1,0,2.496666666666666,2.496666666666666,6,0,0.0
12,7,Percent Sum (S3-27),6,1,Kendra Wilkinson,1,0,0.20474801061007497,0.20474801061007497,5,0,0.0
12,8,Percent Sum (S3-27),5,1,Romeo,1,0,11.003846153846155,11.003846153846155,4,0,0.0
12,9,Percent Sum (S3-27),4,1,Ralph Macchio,0,2,-17.4236170212766,-17.4236170212766,3,2,0.6666666666666666
13,1,Percent Sum (S3-27),12,1,Metta World Peace (Ron),1,0,0.2908124913873893,0.2908124913873893,11,0,0.0
13,2,Percent Sum (S3-27),11,1,Elisabetta Canalis,1,0,0.6084624996748236,0.6084624996748236,10,0,0.0
13,3,Percent Sum (S3-27),10,1,Kristin Cavallari,1,0,1.8138818565400854,1.8138818565400854,9,0,0.0
13,4,Percent Sum (S3-27),9,1,Chynna Phillips,1,0,4.087250830346193,4.087250830346193,8,0,0.0
13,5,Percent Sum (S3-27),8,1,Carson Kressley,1,0,0.13148936170212977,0.13148936170212977,7,0,0.0
13,6,Percent Sum (S3-27),7,1,Chaz Bono,0,1,-5.150361445783133,-5.150361445783133,6,1,0.16666666666666666
13,7,Percent Sum (S3-27),6,1,David Arquette,1,0,11.507781569965871,11.507781569965871,5,0,0.0
13,8,Percent Sum (S3-27),5,1,Nancy Grace,0,1,-3.090578972990741,-3.090578972990741,4,1,0.25
13,9,Percent Sum (S3-27),4,1,Hope Solo,0,1,-3.3149468563158564,-3.3149468563158564,3,1,0.3333333333333333
14,2,Percent Sum (S3-27),12,1,Martina Navratilova,0,1,-0.4932091722183376,-0.4932091722183376,11,1,0.09090909090909091
14,3,Percent Sum (S3-27),11,1,Jack Wagner,1,0,0.7900000000000009,0.7900000000000009,10,0,0.0
14,4,Percent Sum (S3-27),10,1,Sherri Sheperd,1,0,0.569170550756084,0.569170550756084,9,0,0.0
14,5,Percent Sum (S3-27),9,1,Gavin DeGraw,0,1,-0.8478571428571442,-0.8478571428571442,8,1,0.125
14,6,Percent Sum (S3-27),8,1,Gladys Knight,0,3,-6.140454793109248,-6.140454793109248,7,3,0.42857142857142855
14,7,Percent Sum (S3-27),7,1,Jaleel White,1,0,0.8824795640326979,0.8824795640326979,6,0,0.0
14,8,Percent Sum (S3-27),6,2,"Roshon Fegan, Melissa Gilbert",0,2,-4.251526070038199,-0.6692871121974591,8,1,0.125
14,9,Percent Sum (S3-27),4,1,Maria Menounos,1,0,18.66330758228525,18.66330758228525,3,0,0.0
15,1,Percent Sum (S3-27),13,1,Pamela Anderson,1,0,1.0758417829103166,1.0758417829103166,12,0,0.0
15,2,Percent Sum (S3-27),12,1,Joey Fatone,1,0,0.4211834226900937,0.4211834226900937,11,0,0.0
15,3,Percent Sum (S3-27),11,2,"Helio Castroneves, Drew Lachey",0,1,-0.3595683453237424,0.0,18,0,0.0
15,4,Percent Sum (S3-27),9,1,Bristol Palin,0,1,-0.2613530326594109,-0.2613530326594109,8,1,0.125
15,6,Percent Sum (S3-27),8,1,Sabrina Bryan,1,0,0.5941453777481147,0.5941453777481147,7,0,0.0
15,8,Percent Sum (S3-27),7,2,"Gilles Marini, Kirstie Alley",0,1,-2.1039008789270603,0.0,10,0,0.0
15,9,Percent Sum (S3-27),5,2,"Apolo Anton Ohno, Emmitt Smith",0,1,-1.5677154046439377,0.0,6,0,0.0
16,3,Percent Sum (S3-27),11,1,Wynonna Judd,0,1,-1.0661859310685333,-1.0661859310685333,10,1,0.1
16,4,Percent Sum (S3-27),10,1,Lisa Vanderpump,1,0,1.2981291156598616,1.2981291156598616,9,0,0.0
16,5,Percent Sum (S3-27),9,1,D. L. Hughley,0,4,-7.301782809859933,-7.301782809859933,8,4,0.5
16,6,Percent Sum (S3-27),8,1,Victor Ortiz,0,1,-3.6076551952277462,-3.6076551952277462,7,1,0.14285714285714285
16,7,Percent Sum (S3-27),7,1,Andy Dick,0,6,-33.90362050751446,-33.90362050751446,6,6,1.0
16,8,Percent Sum (S3-27),6,1,Sean Lowe,0,2,-9.379780421772079,-9.379780421772079,5,2,0.4
16,9,Percent Sum (S3-27),5,1,Ingo Rademacher,0,1,-7.783120567375889,-7.783120567375889,4,1,0.25
16,10,Percent Sum (S3-27),4,1,Alexandra Raisman,1,0,25.89470158521503,25.89470158521503,3,0,0.0
17,2,Percent Sum (S3-27),12,1,Keyshawn Johnson,1,0,1.8456390977443586,1.8456390977443586,11,0,0.0
17,3,Percent Sum (S3-27),11,1,Bill Nye,0,1,-0.9100000000000001,-0.9100000000000001,10,1,0.1
17,4,Percent Sum (S3-27),10,1,Valerie Harper,1,0,0.40164556962025344,0.40164556962025344,9,0,0.0
17,5,Percent Sum (S3-27),9,1,Christina Milian,1,0,0.03706753654088679,0.03706753654088679,8,0,0.0
17,7,Percent Sum (S3-27),8,1,"Nicole ""Snooki"" Polizzi",1,0,1.4672799108353267,1.4672799108353267,7,0,0.0
17,8,Percent Sum (S3-27),7,1,Brant Daugherty,1,0,0.008438343834383133,0.008438343834383133,6,0,0.0
17,9,Percent Sum (S3-27),6,1,Elizabeth Berkley Lauren,1,0,1.035079365079362,1.035079365079362,5,0,0.0
17,10,Percent Sum (S3-27),5,1,Leah Remini,1,0,9.061428571428568,9.061428571428568,4,0,0.0
17,11,Percent Sum (S3-27),4,1,Bill Engvall,1,0,15.530072816119038,15.530072816119038,3,0,0.0
18,2,Percent Sum (S3-27),11,1,Sean Avery,1,0,0.8398360655737704,0.8398360655737704,10,0,0.0
18,5,Percent Sum (S3-27),9,1,Cody Simpson,1,0,3.0527950310559007,3.0527950310559007,8,0,0.0
18,6,Percent Sum (S3-27),8,1,Drew Carey,0,1,-1.6615602836879457,-1.6615602836879457,7,1,0.14285714285714285
18,7,Percent Sum (S3-27),7,1,NeNe Leakes,0,1,-1.0842292490118552,-1.0842292490118552,6,1,0.16666666666666666
18,8,Percent Sum (S3-27),6,1,Danica McKellar,1,0,2.8047637714104674,2.8047637714104674,5,0,0.0
18,9,Percent Sum (S3-27),5,1,Charlie White,1,0,3.960000000000001,3.960000000000001,4,0,0.0
18,10,Percent Sum (S3-27),4,1,James Maslow,1,0,10.27133856125247,10.27133856125247,3,0,0.0
19,1,Percent Sum (S3-27),13,1,Lolo Jones,1,0,2.124164029306156,2.124164029306156,12,0,0.0
19,2,Percent Sum (S3-27),12,1,Tavis Smiley,1,0,1.2202440488097608,1.2202440488097608,11,0,0.0
19,3,Percent Sum (S3-27),11,1,Randy Couture,1,0,1.599933364441263,1.599933364441263,10,0,0.0
19,4,Percent Sum (S3-27),10,1,Betsey Johnson,0,1,-0.6825879912008812,-0.6825879912008812,9,1,0.1111111111111111
19,6,Percent Sum (S3-27),9,1,Jonathan Bennett,1,0,1.2542883914684637,1.2542883914684637,8,0,0.0
19,7,Percent Sum (S3-27),8,1,Antonio Sabato Jr.,1,0,2.8947775628626697,2.8947775628626697,7,0,0.0
19,8,Percent Sum (S3-27),7,1,Michael Waltrip,0,1,-1.3074193548387107,-1.3074193548387107,6,1,0.16666666666666666
19,9,Percent Sum (S3-27),6,1,Lea Thompson,1,0,1.8245794392523358,1.8245794392523358,5,0,0.0
19,10,Percent Sum (S3-27),5,1,Tommy Chong,1,0,0.3856164383561662,0.3856164383561662,4,0,0.0
19,11,Percent Sum (S3-27),4,1,Bethany Mota,1,0,26.216826674365308,26.216826674365308,3,0,0.0
20,2,Percent Sum (S3-27),12,1,Redfoo,0,2,-1.0309631861021398,-1.0309631861021398,11,2,0.18181818181818182
20,3,Percent Sum (S3-27),11,1,Charlotte McKinney,1,0,0.8589776357827468,0.8589776357827468,10,0,0.0
20,4,Percent Sum (S3-27),10,1,Michael Sam,0,1,-0.09533261018409789,-0.09533261018409789,9,1,0.1111111111111111
20,5,Percent Sum (S3-27),9,1,Suzanne Somers,1,0,0.3966431095406371,0.3966431095406371,8,0,0.0
20,6,Percent Sum (S3-27),8,1,Patti LaBelle,1,0,0.8933922261484106,0.8933922261484106,7,0,0.0
20,7,Percent Sum (S3-27),7,1,Willow Shields,1,0,2.0098777523822413,2.0098777523822413,6,0,0.0
20,8,Percent Sum (S3-27),6,2,"Robert Herjavec, Chris Soules",0,1,-0.14281323877068886,0.0,8,0,0.0
20,9,Percent Sum (S3-27),4,1,Nastia Liukin,1,0,20.14,20.14,3,0,0.0
21,2,Percent Sum (S3-27),13,2,"Victor Espinoza, Chaka Khan",0,1,-0.8739421806433034,0.0,22,0,0.0
21,4,Percent Sum (S3-27),10,1,Gary Busey,1,0,2.947247648116546,2.947247648116546,9,0,0.0
21,6,Percent Sum (S3-27),9,1,Paula Deen,1,0,1.1556304871197884,1.1556304871197884,8,0,0.0
21,7,Percent Sum (S3-27),8,1,Hayes Grier,1,0,1.470147014701471,1.470147014701471,7,0,0.0
21,8,Percent Sum (S3-27),7,1,Andy Grammer,1,0,2.766518547448234,2.766518547448234,6,0,0.0
21,9,Percent Sum (S3-27),6,1,Alexa PenaVega,0,2,-2.5633870377919266,-2.5633870377919266,5,2,0.4
21,11,Percent Sum (S3-27),4,1,Carlos PenaVega,1,0,23.270000000000003,23.270000000000003,3,0,0.0
22,2,Percent Sum (S3-27),12,1,Geraldo Rivera,1,0,0.9974426286184945,0.9974426286184945,11,0,0.0
22,3,Percent Sum (S3-27),11,1,Mischa Barton,1,0,1.2158327828105246,1.2158327828105246,10,0,0.0
22,4,Percent Sum (S3-27),10,1,Marla Maples,1,0,0.23623051960368535,0.23623051960368535,9,0,0.0
22,6,Percent Sum (S3-27),9,1,Doug Flutie,1,0,1.2515929023837717,1.2515929023837717,8,0,0.0
22,7,Percent Sum (S3-27),8,2,"Kim Fields, Von Miller",0,1,-0.029997000299969656,0.0,12,0,0.0
22,8,Percent Sum (S3-27),6,1,Jodie Sweetin,1,0,1.3214201183431946,1.3214201183431946,5,0,0.0
22,9,Percent Sum (S3-27),5,2,"Antonio Brown, Wanya Morris",0,1,-0.03783972125435753,0.0,6,0,0.0
23,2,Percent Sum (S3-27),13,1,Jake T. Austin,1,0,0.5918181818181818,0.5918181818181818,12,0,0.0
23,3,Percent Sum (S3-27),12,1,Rick Perry,1,0,0.16998300169982983,0.16998300169982983,11,0,0.0
23,4,Percent Sum (S3-27),11,2,"Babyface, Vanilla Ice",0,1,-1.095790804061357,0.0,18,0,0.0
23,6,Percent Sum (S3-27),9,1,Amber Rose,1,0,1.2135835596768203,1.2135835596768203,8,0,0.0
23,7,Percent Sum (S3-27),8,1,Maureen McCormick,1,0,1.5101510151015116,1.5101510151015116,7,0,0.0
23,8,Percent Sum (S3-27),7,1,Ryan Lochte,1,0,0.024974134302620854,0.024974134302620854,6,0,0.0
23,9,Percent Sum (S3-27),6,1,Marilu Henner,0,1,-0.45894273127753493,-0.45894273127753493,5,1,0.2
23,10,Percent Sum (S3-27),5,1,Terra Jole,1,0,1.6374061433447125,1.6374061433447125,4,0,0.0
23,11,Percent Sum (S3-27),4,1,Jana Kramer,1,0,23.62908933724398,23.62908933724398,3,0,0.0
24,2,Percent Sum (S3-27),12,1,Chris Kattan,1,0,1.02010201020102,1.02010201020102,11,0,0.0
24,3,Percent Sum (S3-27),11,1,Charo,1,0,0.7099290070992907,0.7099290070992907,10,0,0.0
24,4,Percent Sum (S3-27),10,1,Mr. T,1,0,0.5335049317154166,0.5335049317154166,9,0,0.0
24,5,Percent Sum (S3-27),9,1,Erika Jayne,1,0,0.35789473684210726,0.35789473684210726,8,0,0.0
24,6,Percent Sum (S3-27),8,1,Heather Morris,0,1,-0.001245228636985729,-0.001245228636985729,7,1,0.14285714285714285
24,7,Percent Sum (S3-27),7,2,"Nancy Kerrigan, Nick Viall",0,1,-0.5794861660079036,0.0,10,0,0.0
24,8,Percent Sum (S3-27),5,1,Bonner Bolton,0,1,-8.479787806860916,-8.479787806860916,4,1,0.25
24,9,Percent Sum (S3-27),4,1,Simone Biles,1,0,12.729867986798684,12.729867986798684,3,0,0.0
25,2,Percent Sum (S3-27),13,2,"Barbara Corcoran, Debbie Gibson",0,1,-0.43029250457038515,0.0,22,0,0.0
25,4,Percent Sum (S3-27),11,1,Derek Fisher,1,0,0.6689437020345004,0.6689437020345004,10,0,0.0
25,5,Percent Sum (S3-27),10,1,Sasha Pieterse,1,0,0.8799120087991206,0.8799120087991206,9,0,0.0
25,6,Percent Sum (S3-27),9,1,Nick Lachey,0,5,-4.892026143790851,-4.892026143790851,8,5,0.625
25,7,Percent Sum (S3-27),8,2,"Nikki Bella, Vanessa Lachey",0,1,-0.1946511627906986,0.0,12,0,0.0
25,8,Percent Sum (S3-27),6,1,Terrell Owens,0,1,-0.37840844787353944,-0.37840844787353944,5,1,0.2
25,9,Percent Sum (S3-27),5,1,Victoria Arlen,1,0,10.435697171023634,10.435697171023634,4,0,0.0
25,10,Percent Sum (S3-27),4,1,Drew Scott,1,0,1.848580971643095,1.848580971643095,3,0,0.0
26,1,Percent Sum (S3-27),10,2,"Jamie Anderson, Johnny Damon",0,1,-0.18619047619047713,0.0,16,0,0.0
26,2,Percent Sum (S3-27),8,2,"Kareem Abdul-Jabbar, Arike Ogunbowale",0,2,-4.03392523364486,-0.06813084112149426,12,1,0.08333333333333333
26,3,Percent Sum (S3-27),6,3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu",0,4,-15.126398104265405,-5.042132701421802,9,1,0.1111111111111111
27,1,Percent Sum (S3-27),13,1,Nikki Glaser,1,0,0.4660784313725488,0.4660784313725488,12,0,0.0
27,2,Percent Sum (S3-27),12,1,Danelle Umstead,1,0,0.9293715341959334,0.9293715341959334,11,0,0.0
27,3,Percent Sum (S3-27),11,1,Nancy McKeon,1,0,1.4181434072792403,1.4181434072792403,10,0,0.0
27,4,Percent Sum (S3-27),10,1,Tinashe,1,0,0.00603508626724647,0.00603508626724647,9,0,0.0
27,6,Percent Sum (S3-27),9,1,Mary Lou Retton,0,1,-0.7634061135371173,-0.7634061135371173,8,1,0.125
27,7,Percent Sum (S3-27),8,2,"John Schneider, DeMarcus Ware",0,1,-0.5699190608716034,0.0,12,0,0.0
27,8,Percent Sum (S3-27),6,2,"Juan Pablo Di Pace, Joe Amabile",0,1,-0.2821739130434757,0.0,8,0,0.0
28,2,Hybrid Bottom-2 (S28+),12,1,Mary Wilson,1,0,1.0,1.0,11,0,0.0
28,4,Hybrid Bottom-2 (S28+),10,1,Lamar Odom,1,0,1.0,1.0,9,0,0.0
28,6,Hybrid Bottom-2 (S28+),9,1,Sailor Brinkley-Cook,0,4,-3.0,-3.0,8,4,0.5
28,7,Hybrid Bottom-2 (S28+),8,1,Karamo Brown,1,0,1.0,1.0,7,0,0.0
28,8,Hybrid Bottom-2 (S28+),7,1,Kate Flannery,1,0,2.0,2.0,6,0,0.0
28,9,Hybrid Bottom-2 (S28+),6,1,Sean Spicer,1,0,1.0,1.0,5,0,0.0
28,10,Hybrid Bottom-2 (S28+),5,1,James Van Der Beek,1,0,5.0,5.0,4,0,0.0
29,2,Hybrid Bottom-2 (S28+),15,1,Charles Oakley,0,1,-1.0,-1.0,14,1,0.07142857142857142
29,3,Hybrid Bottom-2 (S28+),14,1,Carole Baskin,1,0,0.0,0.0,13,0,0.0
29,4,Hybrid Bottom-2 (S28+),13,1,Anne Heche,1,0,3.0,3.0,12,0,0.0
29,5,Hybrid Bottom-2 (S28+),12,1,Jesse Metcalfe,1,0,2.0,2.0,11,0,0.0
29,6,Hybrid Bottom-2 (S28+),11,1,Veron Davis,1,0,3.0,3.0,10,0,0.0
29,7,Hybrid Bottom-2 (S28+),10,1,Monica Aldama,1,0,1.0,1.0,9,0,0.0
29,8,Hybrid Bottom-2 (S28+),8,1,Chrishell Stause,1,0,0.0,0.0,7,0,0.0
29,9,Hybrid Bottom-2 (S28+),7,1,AJ McLean,1,0,2.0,2.0,6,0,0.0
29,10,Hybrid Bottom-2 (S28+),6,2,"Skai Jackson, Johnny Weir",0,1,-1.0,0.0,8,0,0.0
30,2,Hybrid Bottom-2 (S28+),15,1,Martin Kove,1,0,0.0,0.0,14,0,0.0
30,3,Hybrid Bottom-2 (S28+),14,1,Christine Chiu,0,2,-2.0,-2.0,13,2,0.15384615384615385
30,4,Hybrid Bottom-2 (S28+),13,2,"Brian Austin Green, Matt James",1,0,0.0,0.0,22,0,0.0
30,5,Hybrid Bottom-2 (S28+),11,1,Melanie C,0,1,-1.0,-1.0,10,1,0.1
30,6,Hybrid Bottom-2 (S28+),10,1,Kenya Moore,1,0,5.0,5.0,9,0,0.0
30,7,Hybrid Bottom-2 (S28+),9,1,"Mike ""The Miz"" Mizanin",1,0,1.0,1.0,8,0,0.0
30,8,Hybrid Bottom-2 (S28+),8,2,"Jimmie Allen, Olivia Jade",0,1,-1.0,0.0,12,0,0.0
30,9,Hybrid Bottom-2 (S28+),6,2,"Melora Hardin, Suni Lee",0,1,-1.0,0.0,8,0,0.0
31,1,Hybrid Bottom-2 (S28+),16,1,Jason Lewis,1,0,2.0,2.0,15,0,0.0
31,2,Hybrid Bottom-2 (S28+),15,1,Teresa Giudice,1,0,1.0,1.0,14,0,0.0
31,3,Hybrid Bottom-2 (S28+),14,1,Cheryl Ladd,1,0,3.0,3.0,13,0,0.0
